,Emissions_CT20,Top Fifty Polluters Supply_CT20,Average Polluters Supply_CT20,Top Fifty Efficient Supply_CT20
0,1004231,500000,500000,500000
50,988112,425000,440142,586082
100,985919,354050,381734,686240
150,970176,272400,337806,772729
200,955180,197118,307509,844931
250,948659,136968,285972,905674
300,936967,89247,280923,942229
350,932666,57029,277304,970773
400,931869,35441,280556,990293
450,929552,21780,282078,999972
500,931494,13334,282140,1009962
550,927240,8052,281448,1009735
600,925089,5234,281300,1009920
650,932060,2509,280764,1020014
700,931213,0,280458,1019560
750,931092,0,279367,1019935
800,930970,0,279262,1019903
850,930814,0,278048,1019857
900,930703,0,277749,1019835
950,930624,0,277205,1019780
1000,930607,0,276537,1019540
1050,930542,0,276186,1019706
1100,930344,0,275490,1019458
1150,930192,0,274836,1019019
1200,930197,0,274797,1019399
1250,930175,0,274508,1019164
1300,929975,0,273481,1019117
1350,929874,0,273822,1019283
1400,929727,0,273906,1018846
1450,929721,0,273338,1019003
1500,929656,0,273216,1018549
1550,929509,0,272405,1018921
1600,929472,0,271860,1018894
1650,929465,0,271860,1019076
1700,929365,0,271182,1018847
1750,929348,0,271126,1018827
1800,929318,0,271283,1018794
1850,929244,0,270752,1018756
1900,929185,0,270661,1018728
1950,929183,0,270685,1018708
2000,929172,0,270591,1018481
2050,929160,0,270303,1018457
2100,929098,0,269733,1018624
2150,929099,0,269600,1018812
2200,929049,0,269641,1018378
2250,929049,0,269456,1018554
2300,929012,0,269816,1018324
2350,928997,0,269746,1018492
2400,928930,0,269476,1018460
