,Emissions_CT24,Top Fifty Polluters Supply_CT24,Average Polluters Supply_CT24,Top Fifty Efficient Supply_CT24
0,996081,500000,500000,500000
50,1000732,498750,498750,630899
100,991917,487600,487600,801044
150,988615,477549,477743,1021739
200,988852,467450,467627,1299323
250,975915,448000,448170,1634136
300,970831,429151,429320,2047018
350,958836,403300,403451,2546810
400,942846,371250,371394,3138212
450,925970,335052,335314,3822517
500,911482,296449,296680,4607469
550,890844,252100,252197,5447590
600,870984,205981,205496,6313337
650,854338,161739,159072,7167130
700,833156,119542,113405,7903323
750,822748,84804,79222,8549980
800,816418,56880,51662,9074397
850,803969,36502,32813,9345477
900,803822,23193,20548,9621094
950,796929,14241,12431,9718620
1000,795638,8671,7501,9813060
1050,790719,5553,4916,9812879
1100,792610,3053,646,9908762
1150,789517,0,0,9906388
1200,789401,0,0,9905474
1250,789258,0,0,9903901
1300,789187,0,0,9903699
1350,789362,0,0,9906344
1400,789345,0,0,9906394
1450,789228,0,0,9905243
1500,789327,0,0,9906839
1550,789245,0,0,9905998
1600,789335,0,0,9907230
1650,789251,0,0,9906342
1700,788852,0,0,9901485
1750,788789,0,0,9900563
1800,789204,0,0,9906194
1850,788986,0,0,9903217
1900,789039,0,0,9904375
1950,788974,0,0,9903531
2000,788888,0,0,9902537
2050,788770,0,0,9901080
2100,788674,0,0,9900179
2150,788692,0,0,9900160
2200,788803,0,0,9901554
2250,788692,0,0,9900379
2300,788798,0,0,9901787
2350,788593,0,0,9899237
2400,788349,0,0,9895958
