,Emissions_CT18,Top Fifty Polluters Supply_CT18,Average Polluters Supply_CT18,Top Fifty Efficient Supply_CT18
0,995724,500000,500000,500000
50,989635,339593,525441,525447
100,990912,221796,546517,546850
150,985553,137516,557560,557787
200,979983,84248,563141,563255
250,980523,51576,568772,568890
300,975052,31224,568763,568876
350,981570,19156,574449,574569
400,979804,11628,574537,574538
450,978863,7014,574283,574521
500,978399,4514,574378,574506
550,977830,1196,574355,574144
600,977740,1031,574450,574241
650,977653,895,574432,574345
700,977605,655,574191,574330
750,977542,486,574287,574194
800,977381,468,574387,574177
850,977354,360,574258,574162
900,977328,244,574362,574152
950,977265,185,574229,574255
1000,977176,185,574331,574011
1050,977106,130,574197,574117
1100,977087,130,574295,573986
1150,977029,130,574280,573973
1200,976973,130,574152,574187
1250,976948,130,574373,574057
1300,976852,130,574129,574036
1350,976862,130,574231,574020
1400,976768,130,574105,574004
1450,976689,130,574085,573992
1500,976616,130,574185,573978
1550,976595,130,574165,573848
1600,976578,130,574150,574062
1650,976501,130,574138,573935
1700,976484,130,574126,573915
1750,976473,130,574110,573902
1800,976453,120,573978,573770
1850,976390,120,574080,573871
1900,976358,120,574066,573964
1950,976385,120,574057,573842
2000,976387,112,573930,573828
2050,976365,112,573916,573931
2100,976327,112,574014,574031
2150,976283,112,574002,574018
2200,976244,112,573871,574009
2250,976254,112,573861,573883
2300,976218,112,573734,573979
2350,976248,112,573939,573968
2400,976237,112,573804,573961
