,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,1004279,10000000,60206,39782,50289,500000,500000,500000,,
1,994242,9900000,59600,39385,49787,495000,495000,495000,,
2,1003961,9997416,59998,39776,50285,498366,499950,499950,,
3,1013799,10095832,60389,40173,50786,501782,504950,504950,,
4,1013680,10094753,60350,40173,50776,501511,504950,504849,,
5,1013594,10094076,60252,40173,50776,500743,504950,504848,,
6,1013496,10093307,60153,40165,50796,499983,504849,505049,,
7,1013400,10092545,60067,40158,50786,499331,504747,504947,,
8,1013314,10091892,59982,40166,50786,498688,504846,504947,,
9,1013205,10091047,59889,40173,50796,497952,504946,505048,,
10,1013109,10090308,59794,40173,50785,497224,504946,504946,,
11,1013020,10089679,59676,40165,50785,496302,504845,504946,,
12,1012930,10088950,59606,40155,50775,495782,504743,504845,,
13,1012848,10088330,59527,40155,50785,495171,504741,504945,,
14,1012744,10087518,59425,40172,50775,494366,504941,504844,,
15,1012652,10086812,59344,40172,50785,493770,504941,504944,,
16,1012589,10086317,59268,40163,50785,493183,504840,504944,,
17,1012485,10085528,59180,40171,50785,492503,504940,504944,,
18,1012389,10084847,59081,40179,50785,491730,505041,504944,,
19,1012310,10084174,59008,40171,50785,491166,504939,504944,,
20,1012221,10083501,58910,40171,50785,490401,504939,504944,,
21,1012143,10082836,58849,40163,50785,489946,504838,504944,,
22,1012048,10082078,58754,40171,50785,489196,504938,504944,,
23,1011965,10081531,58657,40179,50785,488455,505039,504944,,
24,1011871,10080789,58575,40178,50775,487821,505038,504843,,
25,1011783,10080050,58505,40171,50775,487290,504936,504842,,
26,1011717,10079517,58425,40162,50785,486666,504835,504942,,
27,1011625,10078794,58344,40171,50785,486050,504935,504942,,
28,1011549,10078177,58267,40171,50785,485442,504935,504942,,
29,1011476,10077670,58188,40163,50785,484842,504834,504942,,
30,1011388,10076962,58101,40171,50785,484141,504934,504942,,
31,1011319,10076463,58035,40171,50775,483649,504934,504841,,
