,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
681,951698,10091341,172,63714,75228,1426,797001,749134,29.557444285456853,949327.86,10040613.39
682,951116,10085639,170,63714,75153,1414,797001,748385,27.66808321409264,949295.16,10040796.25
683,950622,10080952,169,63714,75106,1402,797001,747907,26.19838882716964,949262.63,10040980.68
684,950131,10076250,169,63714,75165,1390,797001,748511,25.054725538111555,949230.2,10041165.98
685,949661,10071643,166,63714,75150,1378,797001,748358,24.24722466372101,949198.05,10041351.6
686,949166,10066917,164,63714,75135,1365,797001,748206,23.685418497790756,949166.02,10041538.2
687,948694,10062231,162,63714,75103,1352,797001,747900,23.218700297625922,949134.44,10041727.36
688,948199,10057496,155,63714,75103,1291,797001,747894,22.866855411898687,949102.76,10041914.32
689,947747,10053130,155,63714,75087,1280,797001,747741,22.600141558924015,949071.61,10042105.39
690,947282,10048652,154,63714,75103,1269,797001,747893,22.521534740621583,949040.77,10042298.7
691,946818,10044217,153,63714,75103,1258,797001,747893,22.2978080742795,949010.19,10042494.01
692,946384,10039981,152,63714,75103,1247,797001,747893,22.223356055709626,948979.91,10042691.46
693,945924,10035601,149,63714,75103,1236,797001,747893,22.250850375115554,948949.96,10042891.2
694,945465,10031289,148,63714,75103,1225,797001,747893,22.354804448003332,948920.29,10043094.31
695,945018,10026873,146,63714,75103,1214,797001,747893,22.34943666933583,948890.83,10043296.65
696,944588,10022795,144,63714,75103,1203,797001,747893,22.348284398553595,948861.9,10043505.54
697,944159,10018608,144,63714,75103,1192,797001,747893,22.40407044177234,948833.62,10043719.41
698,943729,10014459,143,63714,75103,1181,797001,747893,22.46971949799592,948715.92,10042981.59
699,943313,10010467,136,63714,75103,1121,797001,747893,22.47308170270486,948600.33,10042263.74
700,942858,10006052,135,63714,75103,1111,797001,747893,22.47347794369531,948485.42,10041551.43
701,942405,10001729,133,63714,75103,1101,797001,747893,22.605108457771482,948371.18,10040846.46
702,941951,9997398,132,63714,75103,1091,797001,747893,22.703831343328613,948257.54,10040146.38
703,950528,10089262,125,64355,75858,1035,804990,755373,28.757528958103904,948234.76,10040414.08
704,949956,10083694,123,64355,75826,1026,804990,755066,27.096718147149357,948211.47,10040674.82
705,949486,10079107,122,64355,75826,1017,804990,755063,25.793126845656136,948188.34,10040936.98
706,949029,10074581,121,64355,75857,1007,804990,755367,24.793021717735385,948165.8,10041202.18
707,948542,10069961,121,64355,75841,997,804990,755215,24.04089557800625,948143.45,10041468.97
708,948064,10065306,120,64355,75826,987,804990,755065,23.46558077441378,948121.24,10041736.23
709,947615,10060911,118,64355,75841,977,804990,755214,23.032690356710408,948099.3,10042004.68
710,947170,10056648,117,64355,75841,967,804990,755214,22.85785110086614,948077.78,10042276.8
711,946722,10052339,116,64355,75841,957,804990,755214,22.78624546850675,948056.59,10042552.06
712,946262,10047937,114,64355,75841,947,804990,755214,22.673017434713394,948035.51,10042827.65
713,945819,10043600,113,64355,75827,937,804990,755078,22.43672026257939,948014.74,10043104.61
714,945380,10039432,111,64355,75814,927,804990,754944,22.390040196934542,947994.15,10043384.1
715,944937,10035179,111,64355,75800,917,804990,754811,22.221101576272336,947973.74,10043663.81
716,944494,10030904,104,64355,75814,858,804990,754943,22.075933516730192,947953.8,10043947.15
717,944075,10026885,102,64355,75829,849,804990,755093,21.966615900871943,947934.48,10044236.14
718,943681,10023130,102,64355,75845,840,804990,755245,21.946188742379235,947825.87,10043576.0
719,943282,10019140,101,64355,75829,831,804990,755092,21.86977980563235,947719.38,10042934.75
720,942865,10015306,95,64355,75814,773,804990,754940,21.852334854224264,947613.83,10042303.71
721,942471,10011534,92,64355,75829,765,804990,755090,21.797546422251152,947509.45,10041685.03
722,942091,10007882,91,64355,75844,757,804990,755242,21.935778219935997,947406.1,10041076.18
723,941660,10003746,91,64355,75844,749,804990,755242,22.118500331618666,947303.73,10040475.16
