,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,1000325,10000000,59809,39816,49896,500000,500000,500000,,
1,990300,9900000,59216,39420,49396,495000,495000,495000,,
2,996225,9954648,59804,39420,49893,499950,495000,499950,,
3,992142,9920800,59208,39810,49453,494950,499950,495550,,
4,998890,9986024,59800,40212,49890,499900,504950,499900,,
5,995316,9957500,59200,40614,49510,494900,510000,496100,,
6,1001664,10018826,59796,41023,49882,499850,515100,499850,,
7,993352,9938210,59195,41023,49385,494850,515100,494850,,
8,1001502,10018893,59792,41432,49817,499800,520250,499206,,
9,993077,9937342,59192,41432,49318,494800,520250,494212,,
10,1002198,10028071,59786,41846,49792,499750,525450,498958,,
11,993803,9946861,59188,41846,49292,494750,525450,493966,,
12,1002941,10037639,59777,42259,49763,499700,530700,498710,,
13,994389,9954724,59183,42268,49267,494700,530806,493720,,
14,1003681,10047257,59771,42677,49717,499650,535893,498264,,
15,995237,9965509,59174,42686,49221,494650,536000,493278,,
16,1004489,10057628,59765,43112,49715,499600,541350,498214,,
17,996096,9976359,59166,43121,49217,494600,541458,493228,,
18,1005496,10070041,59754,43552,49711,499550,546859,498164,,
19,997070,9988386,59162,43571,49215,494550,547077,493178,,
20,1006565,10082836,59752,43995,49687,499500,552420,497916,,
21,998222,10002189,59154,43985,49190,494500,552310,492932,,
22,989929,9921806,58564,43994,48698,489550,552419,487998,,
23,999417,10016545,59147,44433,49186,494450,557924,492882,,
24,991308,9938320,58559,44433,48693,489500,557924,487948,,
25,1000781,10032640,59143,44879,49183,494400,563525,492832,,
26,992502,9952737,58551,44879,48690,489450,563525,487898,,
27,1002026,10047673,59137,45331,49176,494350,569177,492782,,
28,993680,9966825,58544,45331,48686,489400,569177,487848,,
29,1003240,10062202,59134,45781,49170,494300,574879,492732,,
30,994843,9981012,58537,45781,48682,489350,574879,487798,,
31,1004408,10076619,59127,46240,49164,494250,580631,492682,,
32,995960,9994608,58532,46231,48673,489300,580515,487748,,
33,1005441,10089351,59118,46693,49157,494200,586316,492632,,
34,997162,10009158,58527,46693,48683,489250,586316,487896,,
35,988917,9929133,57941,46693,48205,484350,586316,483010,,
36,998475,10024734,58521,47159,48677,489200,592167,487846,,
37,990127,9943829,57936,47159,48198,484300,592167,482960,,
38,999761,10040331,58515,47627,48675,489150,598071,487796,,
39,991513,9960540,57927,47627,48187,484250,598071,482910,,
40,1001090,10056245,58512,48107,48670,489100,604070,487746,,
41,992782,9975806,57922,48107,48180,484200,604070,482860,,
42,1002244,10070154,58505,48590,48668,489050,610121,487696,,
43,993990,9990491,57915,48590,48177,484150,610121,482810,,
44,1003529,10085744,58496,49073,48663,489000,616222,487646,,
45,995252,10005743,57908,49073,48171,484100,616222,482760,,
46,987207,9927960,57330,49073,47689,479250,616222,477924,,
47,996567,10021514,57906,49565,48167,484050,622373,482710,,
48,988394,9942397,57326,49565,47682,479200,622373,477874,,
49,997940,10037835,57901,50058,48164,484000,628577,482660,,
50,989575,9956760,57321,50058,47680,479150,628577,477824,,
51,999124,10052214,57893,50559,48161,483950,634876,482610,,
52,990783,9971501,57312,50570,47676,479100,635003,477774,,
53,1000348,10067244,57887,51055,48157,483900,641099,482560,,
54,992196,9988383,57306,51045,47669,479050,640971,477724,,
55,1001551,10081899,57880,51557,48155,483850,647373,482510,,
56,993365,10002572,57324,51546,47665,479194,647244,477674,,
57,985445,9926362,56750,51557,47184,474392,647372,472888,,
58,994709,10018919,57316,52072,47663,479144,653866,477624,,
59,986752,9942199,56744,52061,47181,474342,653737,472838,,
60,996051,10035141,57312,52581,47660,479094,660281,477574,,
61,988110,9958508,56761,52581,47178,474484,660281,472788,,
62,997397,10051358,57307,53109,47658,479044,666878,477524,,
63,989400,9974130,56733,53109,47172,474242,666878,472738,,
64,998789,10068147,57300,53641,47652,478994,673529,477474,,
65,990751,9990303,56727,53620,47167,474192,673259,472688,,
66,1000029,10083517,57296,54154,47639,478944,679999,477424,,
67,992024,10006030,56719,54154,47184,474142,679999,472826,,
68,984132,9929885,56151,54154,46707,469390,679999,468088,,
69,992997,10018456,56711,54694,47181,474092,686794,472776,,
70,985278,9944180,56145,54694,46702,469340,686794,468038,,
71,994306,10034521,56705,55241,47177,474042,693643,472726,,
72,986512,9959323,56138,55241,46699,469290,693643,467988,,
73,995792,10052504,56700,55789,47175,473992,700583,472676,,
74,987989,9977185,56132,55789,46695,469240,700583,467938,,
75,997315,10070846,56698,56352,47164,473942,707581,472626,,
76,989418,9994502,56126,56352,46688,469190,707581,467888,,
77,998567,10086543,56693,56916,47153,473892,714671,472576,,
78,990616,10009615,56121,56916,46686,469140,714671,467838,,
79,982979,9935921,55559,56916,46219,464438,714671,463150,,
80,991722,10023498,56115,57486,46683,469090,721816,467788,,
81,984132,9950384,55548,57486,46211,464388,721816,463100,,
82,993352,10042988,56111,58058,46679,469040,729015,467738,,
83,985742,9969624,55546,58058,46204,464338,729015,463050,,
84,995021,10063157,56104,58635,46675,468990,736305,467688,,
85,987427,9989932,55545,58635,46219,464288,736305,463188,,
86,996629,10082678,56097,59224,46665,468940,743653,467638,,
87,988903,10007961,55537,59201,46198,464238,743355,462950,,
88,981304,9934737,54982,59224,45736,459586,743649,458312,,
89,990098,10023118,55528,59812,46192,464188,751089,462900,,
90,982706,9952090,54978,59812,45733,459536,751089,458262,,
91,991900,10044624,55522,60412,46188,464138,758587,462850,,
92,984392,9972364,54964,60400,45747,459486,758435,458398,,
93,993490,10063990,55520,61007,46184,464088,766023,462800,,
94,986013,9991894,54960,61007,45720,459436,766023,458162,,
95,994959,10082059,55513,61611,46179,464038,773670,462750,,
96,987359,10008750,54951,61598,45714,459386,773515,458112,,
97,979709,9934749,54402,61623,45253,454784,773823,453524,,
98,988918,10027702,54946,62215,45705,459336,781250,458062,,
99,981547,9956752,54394,62215,45251,454734,781250,453474,993990.88,10002034.14
100,990670,10048620,54940,62841,45702,459286,789046,458012,993894.33,10002520.34
101,983186,9976595,54389,62841,45267,454684,789046,453608,993823.19,10003286.29
102,992463,10070254,54936,63466,45684,459236,796935,457784,993785.57,10004442.35
103,985040,9999013,54384,63453,45224,454634,796775,453198,993714.55,10005224.48
104,994181,10090998,54932,64085,45678,459186,804758,457734,993667.46,10006274.22
105,986518,10017114,54381,64073,45222,454584,804597,453148,993579.48,10006870.36
106,979007,9944454,53836,64085,44769,450032,804757,448612,993352.91,10006126.64
107,988378,10039109,54374,64729,45218,454534,812802,453098,993303.17,10007135.63
108,980777,9965552,53830,64717,44781,449982,812639,448740,993095.92,10006602.22
109,989960,10058255,54369,65366,45193,454484,820771,452872,993064.75,10007811.35
110,982393,9985327,53823,65366,44741,449932,820771,448338,992866.7,10007383.91
111,991549,10077687,54366,66014,45155,454434,828965,452470,992844.16,10008692.17
112,984062,10005711,53835,66014,44700,450064,828965,447940,992655.37,10008372.89
113,976616,9933675,53300,66014,44250,445560,828965,443460,992477.64,10008162.4
114,985764,10026048,53831,66678,44692,450014,837250,447894,992298.47,10007950.31
115,978513,9956280,53293,66664,44246,445510,837082,443414,992131.23,10007858.02
116,987626,10048362,53828,67333,44655,449964,845461,447492,991962.6,10007765.36
117,980340,9978220,53311,67333,44208,445640,845461,443016,991805.04,10007783.97
118,989447,10070314,53823,68004,44634,449914,853904,447268,991644.55,10007786.7
119,982040,9998822,53282,67990,44188,445410,853731,442794,991494.25,10007891.06
120,991335,10093043,53818,68666,44613,449864,862262,447044,991341.95,10007993.13
121,984064,10022974,53279,68652,44170,445360,862089,442572,991200.37,10008200.98
122,976702,9951933,52744,68666,43723,440906,862260,438146,991068.1,10008502.25
123,985871,10044806,53273,69356,44147,445310,870890,442346,990932.64,10008784.86
124,978521,9973957,52741,69356,43704,440856,870890,437922,990804.77,10009141.23
125,987770,10067807,53263,70050,44088,445260,879616,441768,990674.66,10009492.9
126,980434,9996810,52735,70021,43650,440806,879264,437350,990553.98,10009933.63
127,989821,10092392,53257,70724,43979,445210,888053,440662,990431.93,10010380.82
128,982517,10021758,52726,70724,43541,440756,888053,436256,990320.3,10010930.15
129,975267,9952033,52199,70724,43097,436352,888053,431900,990040.57,10009828.46
130,984581,10046290,52720,71425,43535,440706,896929,436206,989937.95,10010481.24
131,977336,9976719,52191,71425,43094,436302,896929,431850,989667.23,10009482.24
132,986634,10070838,52713,72147,43528,440656,905905,436156,989573.97,10010244.54
133,979411,10001412,52187,72147,43090,436252,905905,431800,989313.67,10009365.15
134,972202,9931853,51668,72147,42660,431898,905905,427494,989064.07,10008592.1
