,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,998696,10000000,60239,39845,49903,500000,500000,500000,,
1,988715,9900000,59639,39446,49405,495000,495000,495000,,
2,998541,9998208,60235,39785,49901,499950,499158,499950,,
3,988750,9900800,59634,39581,49402,494950,496750,494950,,
4,998632,9999719,60232,39967,49898,499900,501619,499900,,
5,988941,9903436,59629,39852,49398,494900,500336,494900,,
6,998820,10002490,60229,40252,49889,499850,505340,499850,,
7,989032,9904899,59625,40022,49391,494850,502549,494850,,
8,998888,10003775,60221,40424,49885,499800,507575,499800,,
9,989088,9906082,59617,40188,49386,494800,504682,494800,,
10,998952,10004769,60216,40570,49879,499750,509519,499750,,
11,989160,9907488,59614,40365,49379,494750,507038,494750,,
12,999036,10005982,60212,40735,49874,499700,511682,499700,,
13,989198,9908070,59609,40497,49374,494700,508770,494700,,
14,999044,10006361,60204,40836,49870,499650,513011,499650,,
15,989215,9908446,59600,40582,49371,494650,509896,494650,,
16,999031,10006762,60193,40936,49860,499600,514362,499600,,
17,989226,9909157,59615,40706,49362,494800,511557,494600,,
18,999048,10007487,60185,41064,49856,499550,516037,499550,,
19,989243,9909787,59586,40822,49357,494550,513137,494550,,
20,999077,10008023,60185,41178,49854,499500,517523,499500,,
21,989259,9910319,59582,40935,49355,494500,514619,494500,,
22,999100,10008670,60180,41295,49851,499450,519120,499450,,
23,989326,9911314,59577,41083,49352,494450,516564,494450,,
24,999114,10009139,60174,41401,49848,499400,520539,499400,,
25,989322,9911548,59572,41174,49348,494400,517748,494400,,
26,999104,10009510,60168,41500,49839,499350,521860,499350,,
27,989387,9912668,59590,41334,49341,494550,519818,494350,,
28,999117,10010003,60164,41607,49835,499300,523303,499300,,
29,989392,9913191,59560,41460,49336,494300,521491,494300,,
30,999134,10010655,60155,41745,49828,499250,525103,499250,,
31,989419,9913932,59553,41584,49349,494250,523178,494450,,
32,999245,10012260,60148,41941,49824,499200,527658,499200,,
33,989450,9914667,59545,41714,49325,494200,524863,494200,,
34,999264,10012796,60139,42052,49820,499150,529144,499150,,
35,989462,9915204,59538,41823,49321,494150,526350,494150,,
36,999316,10013774,60135,42201,49810,499100,531072,499100,,
37,989455,9915558,59533,41937,49313,494100,527854,494100,,
38,999353,10014445,60131,42327,49806,499050,532693,499050,,
39,989481,9916100,59527,42035,49307,494050,529146,494050,,
40,999371,10015026,60125,42438,49804,499000,534224,499000,,
41,989531,9917043,59523,42177,49305,494000,531039,494000,,
42,999388,10015737,60119,42560,49801,498950,535885,498950,,
43,989598,9918304,59516,42343,49302,493950,533250,493950,,
44,999421,10016467,60115,42689,49799,498900,537565,498900,,
45,989619,9918884,59510,42458,49298,493900,534780,493900,,
46,999454,10017325,60109,42823,49789,498850,539373,498850,,
47,989673,9919916,59506,42621,49291,493850,536962,493850,,
48,999502,10018309,60100,42968,49785,498800,541307,498800,,
49,989711,9920632,59499,42733,49286,493800,538428,493800,,
50,999539,10019225,60091,43109,49778,498750,543173,498750,,
51,989772,9921850,59490,42897,49279,493750,540596,493750,,
52,999580,10020020,60085,43239,49774,498700,544918,498700,,
53,989789,9922472,59484,43030,49275,493700,542368,493700,,
54,999626,10020885,60084,43393,49771,498650,546931,498650,,
55,989827,9923399,59480,43174,49271,493650,544241,493650,,
56,999692,10022042,60074,43551,49760,498600,549038,498600,,
57,989901,9924809,59474,43352,49263,493600,546601,493600,,
58,999741,10022992,60070,43698,49756,498550,550938,498550,,
59,989934,9925280,59469,43460,49259,493550,548022,493550,,
60,999830,10024391,60066,43878,49754,498500,553287,498500,,
61,990043,9926904,59464,43656,49255,493500,550596,493500,,
62,999904,10025658,60061,44048,49751,498450,555504,498450,,
63,990076,9927768,59457,43794,49252,493450,552410,493450,,
64,999953,10026813,60053,44201,49749,498400,557609,498400,,
65,990199,9929810,59449,44021,49248,493400,555402,493400,,
66,1000036,10028388,60044,44395,49739,498350,560134,498350,,
67,990267,9930839,59441,44169,49242,493350,557381,493350,,
68,1000128,10029790,60038,44575,49736,498300,562486,498300,,
69,990312,9931893,59437,44319,49237,493300,559385,493300,,
70,1000190,10030864,60034,44729,49729,498250,564510,498250,,
71,990389,9933183,59432,44489,49229,493250,561625,493250,,
72,1000232,10031962,60027,44876,49724,498200,566558,498200,,
73,990494,9934919,59425,44690,49225,493200,564311,493200,,
74,1000362,10033742,60021,45089,49721,498150,569288,498150,,
75,990542,9936073,59421,44852,49221,493150,566415,493150,,
76,1000441,10035019,60018,45255,49711,498100,571515,498100,,
77,990636,9937597,59414,45039,49213,493100,568889,493100,,
78,1000521,10036484,60012,45438,49706,498050,573930,498050,,
79,990745,9939203,59408,45235,49209,493050,571445,493050,,
80,1000611,10037834,60006,45614,49704,498000,576230,498000,,
81,990824,9940480,59403,45420,49205,493000,573872,493000,,
82,1000688,10039222,59996,45788,49701,497950,578568,497950,,
83,990869,9941518,59394,45554,49202,492950,575660,492950,,
84,1000757,10040453,59991,45955,49699,497900,580749,497900,,
85,990978,9943062,59389,45742,49198,492900,578154,492900,,
86,1000837,10041957,59984,46141,49689,497850,583203,497850,,
87,991066,9944511,59384,45926,49192,492850,580553,492850,,
88,1000894,10043225,59980,46310,49686,497800,585421,497800,,
89,991117,9945657,59378,46083,49187,492800,582649,492800,,
90,1001011,10044977,59972,46515,49679,497750,588123,497750,,
91,991217,9947414,59372,46286,49179,492750,585356,492750,,
92,1001146,10046987,59969,46740,49674,497700,591083,497700,,
93,991308,9948863,59367,46466,49175,492700,587755,492700,,
94,1001235,10048450,59963,46923,49671,497650,593496,497650,,
95,991438,9950991,59360,46700,49172,492650,590833,492650,,
96,1001352,10050474,59958,47145,49661,497600,596470,497600,,
97,991564,9953048,59355,46927,49163,492600,593840,492600,,
98,1001501,10052468,59950,47369,49656,497550,599414,497550,,
99,991691,9954852,59345,47138,49159,492550,596594,492550,994851.06,9972858.54
100,1001619,10054289,59943,47580,49654,497500,602185,497500,994880.29,9973401.43
101,991811,9956688,59341,47350,49176,492500,599380,492700,994911.25,9973968.31
102,1001648,10055302,59930,47804,49649,497400,605094,497402,994942.32,9974539.25
103,991933,9958478,59335,47560,49172,492450,602121,492649,994974.15,9975116.03
104,1001736,10056881,59925,47993,49640,497350,607624,497351,995005.19,9975687.65
105,992077,9960720,59329,47804,49148,492400,605313,492401,995036.55,9976260.49
106,1001845,10058738,59919,48208,49636,497300,610431,497301,995066.8,9976822.97
107,992172,9962270,59322,47996,49143,492350,607811,492351,995098.2,9977396.68
108,1001947,10060388,59914,48404,49629,497250,613029,497251,995128.79,9977962.81
109,992299,9964214,59317,48213,49137,492300,610703,492301,995160.9,9978544.13
110,1002069,10062291,59911,48622,49624,497200,615880,497201,995192.07,9979119.35
111,992381,9965792,59311,48403,49129,492250,613229,492251,995224.28,9979702.39
112,1002198,10064368,59903,48852,49621,497150,618905,497151,995255.9,9980286.25
113,992486,9967695,59305,48618,49144,492200,616080,492399,995288.78,9980882.5
114,1002326,10066302,59894,49072,49611,497100,621787,497101,995321.6,9981481.91
115,992554,9968699,59299,48766,49122,492150,618032,492151,995354.99,9982084.44
116,1002379,10067127,59889,49202,49606,497050,623560,497051,995388.47,9982688.09
117,992674,9970660,59293,48985,49113,492100,620941,492101,995422.95,9983303.12
118,1002478,10068775,59880,49399,49606,497000,626156,497001,995457.25,9983916.0
119,992759,9972228,59289,49174,49129,492050,623457,492249,995492.41,9984540.41
120,1002567,10070452,59879,49591,49601,496950,628781,496951,995527.31,9985164.7
121,992916,9974517,59281,49421,49106,492000,626694,492001,995563.88,9985806.68
122,1002691,10072260,59872,49804,49599,496900,631537,496901,995599.79,9986442.58
123,993015,9976091,59276,49612,49102,491950,629216,491951,995636.68,9987090.35
124,1002815,10074321,59866,50028,49590,496850,634546,496851,995673.69,9987742.17
125,993195,9978565,59270,49872,49118,491900,632638,492099,995712.42,9988412.34
126,1002954,10076478,59862,50268,49586,496800,637651,496801,995750.92,9989082.02
127,993282,9980074,59264,50074,49094,491850,635293,491851,995789.87,9989756.08
128,1003054,10078270,59855,50473,49579,496750,640391,496751,995829.24,9990438.75
129,993429,9982299,59258,50299,49087,491800,638268,491801,995869.61,9991129.83
130,1003194,10080486,59846,50713,49574,496700,643555,496701,995910.21,9991828.14
131,993534,9984126,59251,50507,49079,491750,641043,491751,995951.36,9992530.08
132,1003383,10083188,59840,50992,49571,496650,647205,496651,995992.74,9993239.36
133,993637,9986114,59243,50743,49076,491700,644177,491701,996034.61,9993953.83
134,1003512,10085206,59832,51219,49561,496600,650171,496601,996077.09,9994677.93
135,993800,9988191,59265,50958,49072,491848,647004,491651,996120.47,9995407.8
136,1003662,10087314,59830,51450,49556,496550,653227,496551,996163.93,9996143.2
137,993944,9990705,59233,51222,49063,491600,650466,491601,996208.82,9996894.67
138,1003823,10089664,59822,51701,49556,496500,656525,496501,996253.52,9997646.86
139,994064,9992635,59227,51441,49059,491550,653344,491551,996299.35,9998412.21
140,1003938,10091576,59816,51912,49552,496450,659385,496451,996345.02,9999177.71
141,994234,9995236,59220,51705,49056,491500,656893,491501,996392.05,9999959.64
142,1004111,10094124,59813,52181,49549,496400,662881,496401,996439.28,10000743.51
143,994358,9997089,59214,51916,49071,491450,659694,491649,996486.88,10001531.36
144,1004247,10096289,59807,52417,49540,496350,665994,496351,996535.14,10002329.58
145,994498,9999072,59210,52155,49047,491400,662823,491401,996583.93,10003131.46
146,1004369,10098479,59800,52648,49536,496300,669132,496301,996633.08,10003943.0
147,994679,10001729,59202,52410,49044,491350,666230,491351,996683.14,10004761.13
148,985070,9906303,58614,52203,48554,486450,663708,486451,996538.82,10003641.07
149,994858,10004279,59197,52678,49037,491300,669730,491301,996590.29,10004477.54
150,985199,9908378,58606,52445,48546,486400,666929,486401,996446.89,10003369.07
151,995003,10006744,59191,52938,49028,491250,673145,491251,996499.2,10004218.01
152,985366,9910586,58600,52671,48544,486350,669889,486351,996357.06,10003123.67
153,995171,10009041,59188,53184,49026,491200,676390,491201,996410.88,10003989.36
154,985567,9913532,58591,52970,48540,486300,673783,486301,996270.29,10002915.83
155,995343,10011650,59178,53456,49022,491150,679947,491151,996325.45,10003798.34
156,985746,9916188,58586,53247,48532,486250,677387,486251,996185.99,10002739.8
157,995439,10013645,59173,53676,49013,491100,682890,491101,996241.37,10003628.16
158,985887,9918193,58583,53465,48527,486200,680340,486201,996102.83,10002580.17
159,995617,10016340,59167,53953,49009,491050,686533,491051,996159.66,10003490.77
160,986046,9920760,58577,53733,48521,486150,683855,486151,996021.82,10002454.46
161,995780,10018779,59162,54206,49006,491000,689920,491001,996079.19,10003373.21
162,986214,9923536,58572,54012,48513,486100,687579,486101,995942.29,10002351.99
163,995973,10021510,59154,54488,49001,490950,693599,490951,996001.26,10003289.41
164,986358,9925658,58567,54246,48511,486050,690649,486051,995865.31,10002277.86
165,996121,10023625,59148,54717,48997,490900,696662,490901,995924.53,10003216.01
166,986531,9928402,58560,54523,48506,486000,694341,486001,995789.48,10002216.15
167,996317,10026516,59142,55003,48994,490850,700501,490851,995849.98,10003172.92
168,986739,9931387,58552,54821,48524,485950,698274,486147,995716.09,10002188.89
169,996495,10029084,59139,55271,48987,490800,704017,490801,995777.92,10003160.8
170,986868,9933329,58544,55035,48496,485900,701164,485901,995644.7,10002185.45
171,996656,10031640,59130,55533,48978,490750,707521,490751,995707.37,10003170.02
172,987058,9936287,58538,55331,48494,485850,705070,485851,995575.63,10002213.27
173,996849,10034485,59124,55821,48977,490700,711314,490701,995639.18,10003208.93
174,987255,9939018,58534,55629,48490,485800,708945,485801,995508.11,10002261.69
175,996958,10036511,59118,56056,48972,490650,714482,490651,995572.27,10003266.07
176,987409,9941467,58527,55879,48483,485750,712338,485751,995441.95,10002330.55
177,997146,10039488,59112,56356,48963,490600,718407,490601,995507.05,10003349.46
178,987555,9943779,58524,56140,48477,485700,715794,485701,995377.39,10002422.41
179,997321,10042273,59104,56655,48960,490550,722334,490551,995443.15,10003453.11
180,987734,9946623,58519,56445,48471,485650,719778,485651,995314.38,10002541.0
181,997504,10044883,59102,56922,48956,490500,725892,490501,995381.18,10003585.03
182,987935,9949620,58510,56725,48484,485600,723527,485797,995253.65,10002689.01
183,997727,10048003,59095,57233,48953,490450,729960,490451,995322.23,10003753.86
184,988095,9952095,58504,56986,48461,485550,726950,485551,995195.61,10002870.28
185,997928,10050858,59090,57519,48947,490400,733763,490401,995265.11,10003948.24
186,988357,9955812,58496,57340,48456,485500,731615,485501,995140.31,10003086.79
187,998134,10053923,59083,57820,48944,490350,737776,490351,995210.99,10004180.91
188,988539,9958609,58490,57622,48454,485450,735360,485451,995087.44,10003334.75
189,998316,10056481,59077,58084,48937,490300,741282,490301,995159.43,10004442.99
190,988691,9960825,58485,57857,48446,485400,738524,485401,995036.23,10003601.47
191,998473,10059104,59071,58348,48928,490250,744853,490251,995108.79,10004718.37
192,988865,9963611,58480,58151,48444,485350,742454,485351,994985.98,10003884.61
193,998627,10061599,59064,58624,48927,490200,748490,490201,995059.17,10005011.97
194,989065,9966456,58474,58440,48441,485300,746243,485301,994937.47,10004192.03
195,998769,10064128,59058,58884,48921,490150,751967,490151,995010.78,10005323.4
196,989247,9969232,58470,58718,48433,485250,749967,485251,994889.73,10004510.98
197,999000,10067406,59053,59204,48913,490100,756193,490101,994964.09,10005654.56
198,989509,9972871,58462,59068,48427,485200,754554,485201,994844.17,10004858.59
199,999224,10070791,59046,59531,48910,490050,760526,490051,994919.5,10006017.98
200,989629,9974989,58459,59310,48421,485150,757816,485151,994799.6,10005224.98
201,999436,10073911,59040,59857,48906,490000,764788,490001,994875.85,10006397.21
202,989829,9978076,58448,59617,48414,485100,761847,485101,994757.66,10005624.95
203,999677,10077223,59035,60183,48903,489950,769048,489951,994835.1,10006812.4
204,990050,9981282,58440,59933,48411,485050,766001,485051,994718.24,10006056.41
205,999925,10080647,59028,60517,48897,489900,773420,489901,994796.72,10007255.68
206,990276,9984564,58436,60253,48406,485000,770231,485001,994681.03,10006513.94
207,1000172,10084215,59022,60856,48894,489850,777936,489851,994761.03,10007733.39
208,990562,9988621,58431,60648,48404,484950,775432,484951,994647.18,10007015.72
209,1000425,10087743,59015,61198,48887,489800,782412,489801,994728.44,10008251.01
210,990798,9992009,58449,60963,48396,485096,779572,484901,994615.73,10007548.19
211,1000662,10091328,59010,61540,48878,489750,786945,489751,994698.54,10008803.55
212,991093,9996152,58422,61352,48394,484850,784663,484851,994587.49,10008121.39
213,1000917,10095054,59004,61894,48877,489700,791619,489701,994671.8,10009394.98
214,991348,9999862,58415,61703,48391,484800,789321,484801,994562.02,10008730.58
215,1001172,10098988,58997,62262,48871,489650,796501,489651,994648.2,10010033.47
216,991638,10003952,58410,62085,48383,484750,794359,484751,994540.79,10009401.72
217,982140,9909148,57824,61852,47899,479900,791505,479901,994435.45,10008786.6
218,991841,10007081,58401,62389,48377,484700,798438,484701,994329.08,10008169.66
219,982364,9912698,57819,62186,47893,479850,796005,479851,994225.13,10007574.36
220,992112,10011068,58392,62764,48370,484650,803375,484651,994120.58,10006980.52
221,982643,9916749,57811,62568,47891,479800,801010,479801,994017.85,10006402.84
222,992416,10015328,58388,63163,48364,484600,808585,484601,993915.1,10005833.52
223,982923,9920763,57806,62947,47886,479750,805970,479751,993814.18,10005280.24
224,992723,10019657,58382,63565,48361,484550,813864,484551,993713.26,10004733.6
225,983223,9925114,57798,63352,47878,479700,811271,479701,993613.54,10004199.09
226,993001,10023545,58377,63928,48356,484500,818702,484501,993514.01,10003669.76
227,983505,9929238,57794,63735,47871,479650,816343,479651,993416.24,10003161.4
228,993282,10027509,58372,64303,48354,484450,823614,484451,993318.52,10002653.79
229,983760,9933007,57786,64090,47866,479600,821060,479601,993221.83,10002160.87
230,993568,10031788,58366,64699,48346,484400,828841,484401,993125.57,10001673.89
231,984097,9937540,57780,64507,47861,479550,826541,479551,993031.2,10001208.03
232,993888,10036324,58362,65115,48344,484350,834325,484351,992936.25,10000739.39
233,984368,9941200,57797,64854,47859,479694,831149,479501,992843.56,10000290.25
234,994126,10039740,58355,65443,48341,484300,838689,484301,992749.7,9999835.59
235,984649,9945127,57770,65223,47853,479450,836024,479451,992658.19,9999404.95
236,994397,10043693,58346,65818,48333,484250,843590,484251,992565.54,9998968.74
237,984891,9948725,57762,65568,47849,479400,840570,479401,992475.01,9998548.94
238,994700,10047888,58340,66206,48327,484200,848733,484201,992383.78,9998131.18
239,985254,9953833,57757,66029,47862,479350,846626,479545,992295.68,9997743.16
240,995033,10052691,58332,66638,48320,484150,854484,484151,992206.63,9997354.31
241,985560,9958213,57751,66431,47841,479300,851954,479301,992119.89,9996984.08
242,995302,10056466,58331,66994,48314,484100,859207,484101,992031.8,9996607.5
243,985810,9962049,57745,66789,47836,479250,856738,479251,991946.32,9996257.1
244,995612,10060883,58322,67398,48311,484050,864572,484051,991859.97,9995903.04
245,986108,9966536,57737,67198,47828,479200,862173,479201,991776.07,9995577.68
246,995948,10065546,58320,67826,48305,484000,870183,484001,991691.86,9995248.35
247,986398,9970861,57732,67599,47821,479150,867446,479151,991609.05,9994939.67
248,996248,10069943,58314,68231,48304,483950,875528,483951,991720.83,9996576.07
249,986677,9974711,57725,67963,47836,479100,872244,479295,991639.02,9996280.39
250,996470,10073491,58307,68564,48296,483900,880024,483901,991751.73,9997931.52
251,987015,9979418,57720,68389,47811,479050,877899,479051,991671.85,9997658.26
252,996759,10077627,58297,68949,48294,483850,885108,483851,991785.78,9999328.67
253,987254,9982692,57714,68718,47809,479000,882315,479001,991706.61,9999065.18
254,997035,10081597,58291,69334,48291,483800,890218,483801,991821.29,10000745.83
255,987541,9986928,57709,69110,47803,478950,887495,478951,991743.27,10000498.61
256,997313,10085779,58285,69720,48283,483750,895348,483751,991858.94,10002194.52
257,987894,9991808,57702,69549,47800,478900,893323,478901,991783.49,10001976.15
258,997666,10090741,58281,70165,48277,483700,901258,483701,991901.28,10003701.63
259,988198,9996186,57697,69953,47793,478850,898649,478851,991827.09,10003500.09
260,997942,10094597,58273,70523,48271,483650,906062,483651,991946.05,10005238.46
261,988451,9999850,57693,70292,47791,478800,903261,478801,991872.76,10005049.17
262,998265,10098976,58271,70925,48264,483600,911389,483601,991993.27,10006803.57
263,988794,10004734,57684,70733,47787,478750,909093,478751,991921.48,10006635.81
