,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,996081,10000000,60085,39445,49924,500000,500000,500000,,
1,986127,9900000,59480,39049,49425,495000,495000,495000,,
2,994958,9986526,60077,39003,49919,499950,494406,499950,,
3,986307,9902452,59477,39251,49420,494950,497578,494950,,
4,995521,9994031,60067,39567,49914,499900,501665,499900,,
5,987115,9912714,59472,39924,49416,494900,506194,494900,,
6,996215,10003236,60064,40217,49904,499850,510042,499850,,
7,986782,9909587,59463,40294,49407,494850,510957,494850,,
8,995892,9999728,60061,40629,49901,499800,515142,499800,,
9,987171,9914916,59457,40857,49402,494800,518148,494800,,
10,996477,10007303,60054,41164,49899,499750,522083,499750,,
11,986986,9913341,59454,41206,49397,494750,522619,494750,,
12,996454,10007532,60048,41530,49895,499700,526798,499700,,
13,987065,9914827,59450,41643,49395,494700,528159,494700,,
14,996466,10008078,60045,41894,49890,499650,531434,499650,,
15,987062,9915393,59441,41992,49390,494650,532583,494650,,
16,996633,10010650,60036,42247,49884,499600,535926,499600,,
17,987247,9917920,59431,42373,49386,494600,537416,494600,,
18,996682,10012136,60030,42634,49881,499550,540912,499550,,
19,987343,9919752,59428,42785,49381,494550,542722,494550,,
20,996746,10013538,60019,43084,49874,499500,546586,499500,,
21,987326,9920116,59425,43146,49375,494500,547324,494500,,
22,996832,10015226,60015,43475,49870,499450,551576,499450,,
23,987419,9921932,59415,43544,49370,494450,552418,494450,,
24,997043,10018363,60012,43904,49864,499400,557025,499400,,
25,987578,9924269,59409,43918,49366,494400,557253,494400,,
26,997194,10020930,60005,44334,49854,499350,562518,499350,,
27,987714,9926771,59405,44325,49359,494350,562457,494350,,
28,997310,10022879,60000,44734,49851,499300,567563,499300,,
29,987780,9928288,59400,44689,49351,494300,567052,494300,,
30,997485,10025500,59996,45099,49849,499250,572306,499250,,
31,988038,9932098,59417,45148,49346,494450,572968,494250,,
32,997767,10029192,59989,45545,49845,499200,577922,499200,,
33,988257,9935192,59406,45530,49345,494400,577768,494200,,
34,998037,10033037,59982,45945,49840,499150,583105,499150,,
35,988656,9940517,59378,46072,49340,494150,584627,494150,,
36,998313,10037102,59974,46429,49834,499100,589284,499100,,
37,988929,9944324,59377,46515,49336,494100,590336,494100,,
38,998663,10041901,59966,46930,49831,499050,595615,499050,,
39,989243,9948647,59372,46977,49331,494050,596185,494050,,
40,998923,10045561,59963,47369,49824,499000,601187,499000,,
41,989489,9952176,59361,47405,49325,494000,601616,494000,,
42,999215,10049817,59958,47805,49820,498950,606781,498950,,
43,989826,9956706,59357,47862,49320,493950,607488,493950,,
44,999624,10055238,59950,48312,49814,498900,613140,498900,,
45,990213,9961718,59350,48351,49316,493900,613634,493900,,
46,999980,10060195,59947,48786,49805,498850,619233,498850,,
47,990578,9966898,59347,48861,49310,493850,620152,493850,,
48,1000368,10065290,59942,49268,49801,498800,625278,498800,,
49,990881,9971202,59335,49278,49321,493800,625406,494000,,
50,1000732,10069961,59937,49705,49798,498750,630899,498750,,
51,991318,9977172,59330,49821,49296,493750,632326,493750,,
52,1001186,10076210,59925,50264,49794,498700,638098,498700,,
53,991836,9983776,59327,50394,49295,493700,639672,493700,,
54,1001653,10082231,59918,50819,49790,498650,645057,498650,,
55,992163,9988295,59324,50843,49290,493650,645333,493650,,
56,1002006,10087006,59914,51265,49784,498600,650782,498600,,
57,992530,9993290,59314,51307,49286,493600,651278,493600,,
58,1002366,10091844,59909,51721,49781,498550,656570,498550,,
59,992892,9998064,59308,51740,49281,493550,656794,493550,,
60,1002710,10096501,59902,52175,49775,498500,662375,498500,,
61,993297,10003330,59301,52227,49275,493500,663006,493500,,
62,983911,9910116,58711,52231,48780,488550,663064,488550,,
63,993692,10008499,59298,52725,49270,493450,669321,493450,,
64,984345,9916039,58703,52791,48775,488500,670131,488500,,
65,994006,10013042,59288,53201,49266,493400,675402,493400,,
66,984640,9920392,58695,53252,48769,488450,676024,488450,,
