,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,1000440,10000000,60122,39455,50101,500000,500000,500000,,
1,990469,9900000,59525,39062,49598,495000,495000,495000,,
2,1000208,9997119,60120,39313,50091,499950,498069,499950,,
3,990455,9900100,59516,39139,49591,494950,496050,494950,,
4,1000233,9997620,60117,39418,50089,499900,499520,499900,,
5,990444,9900515,59510,39237,49588,494900,497415,494900,,
6,1000237,9998042,60109,39517,50083,499850,500892,499850,,
7,990447,9900949,59505,39337,49582,494850,498799,494850,,
8,1000248,9998481,60101,39617,50079,499800,502281,499800,,
9,990431,9901289,59501,39433,49577,494800,500089,494800,,
10,1000248,9998939,60098,39716,50073,499750,503689,499750,,
11,990454,9901977,59497,39546,49573,494750,501727,494750,,
12,1000330,10000237,60088,39883,50069,499700,505937,499700,,
13,990380,9901237,59489,39542,49568,494700,501737,494700,,
14,1000270,10000105,60082,39942,50066,499650,506755,499650,,
15,990327,9901105,59481,39620,49564,494650,502755,494650,,
16,1000203,9999686,60074,39994,50060,499600,507484,499600,,
17,990409,9902360,59477,39782,49560,494600,504960,494600,,
18,1000211,10000340,60069,40107,50056,499550,509088,499550,,
19,990326,9901641,59468,39796,49556,494550,505187,494550,,
20,1000105,9999332,60069,40097,50051,499500,509030,499500,,
21,990404,9903034,59463,39964,49548,494500,507530,494500,,
22,1000182,10000541,60066,40254,50041,499450,511189,499450,,
23,990322,9902337,59456,39976,49542,494450,507783,494450,,
24,1000145,10000459,60051,40317,50039,499400,512057,499400,,
25,990300,9902585,59453,40064,49538,494400,508981,494400,,
26,1000104,10000195,60048,40363,50033,499350,512743,499350,,
27,990256,9902440,59451,40136,49532,494350,509986,494350,,
28,1000072,10000185,60043,40446,50009,499300,513881,499102,,
29,990233,9902436,59445,40218,49508,494300,511128,494104,,
30,1000031,10000081,60012,40519,50005,499052,514925,499052,,
31,990190,9902558,59409,40308,49504,494054,512396,494054,,
32,999985,10000111,60002,40600,49999,499002,516103,499002,,
33,990139,9902134,59407,40358,49499,494004,513118,494004,,
34,999902,9999530,59996,40637,49996,498952,516670,498952,,
35,990217,9903619,59397,40534,49494,493954,515553,493954,,
36,999977,10000923,59996,40810,49990,498902,519013,498902,,
37,990120,9902943,59392,40548,49490,493904,515823,493904,,
38,999967,10001156,59993,40895,49986,498852,520196,498852,,
39,990111,9902976,59385,40619,49486,493854,516806,493854,,
40,999959,10001403,59981,40983,49981,498802,521393,498802,,
41,990127,9903451,59380,40725,49477,493804,518231,493804,,
42,999955,10001861,59975,41084,49971,498752,522801,498752,,
43,990131,9904052,59377,40839,49472,493754,519782,493754,,
44,999970,10002249,59972,41176,49969,498702,524139,498702,,
45,990145,9904595,59375,40943,49468,493704,521275,493704,,
46,999943,10002445,59964,41259,49963,498652,525285,498652,,
47,990051,9903922,59364,40957,49462,493654,521552,493654,,
48,999892,10002221,59955,41309,49959,498602,526011,498602,,
49,990006,9903782,59358,41009,49458,493604,522362,493604,,
50,999871,10002159,59949,41369,49955,498552,526899,498552,,
51,989968,9903622,59350,41065,49454,493554,523152,493554,,
52,999808,10001668,59946,41398,49949,498502,527358,498502,,
53,989901,9903025,59343,41085,49449,493504,523505,493504,,
54,999787,10001717,59943,41469,49945,498452,528357,498452,,
55,989894,9903216,59339,41182,49444,493454,524846,493454,,
56,999739,10001687,59939,41527,49940,498402,529277,498402,,
57,989896,9903740,59332,41269,49440,493404,526120,493404,,
58,999752,10002287,59926,41638,49936,498352,530827,498352,,
59,989923,9904434,59328,41388,49436,493354,527764,493354,,
60,999771,10002884,59923,41753,49930,498302,532374,498302,,
61,989895,9904577,59326,41467,49427,493304,528857,493304,,
62,999767,10003272,59916,41851,49921,498252,533712,498252,,
63,989899,9905023,59316,41570,49422,493254,530253,493254,,
64,999793,10003850,59910,41962,49919,498202,535240,498202,,
65,989918,9905772,59309,41707,49417,493204,532152,493204,,
66,999804,10004583,59900,42084,49913,498152,536923,498152,,
67,989916,9906041,59302,41780,49412,493154,533171,493154,,
68,999811,10005031,59896,42184,49909,498102,538321,498102,,
69,989909,9906382,59295,41873,49408,493104,534462,493104,,
70,999792,10005007,59895,42249,49905,498052,539247,498052,,
71,989880,9906329,59292,41935,49404,493054,535359,493054,,
72,999776,10005158,59890,42329,49898,498002,540348,498002,,
73,989884,9906638,59284,42024,49399,493004,536618,493004,,
74,999757,10005417,59880,42414,49895,497952,541557,497952,,
75,989916,9907219,59279,42136,49394,492954,538149,492954,,
76,999749,10005636,59873,42496,49889,497902,542726,497902,,
77,989924,9907914,59276,42256,49389,492904,539794,492904,,
78,999767,10006217,59870,42610,49886,497852,544257,497852,,
79,989910,9908168,59270,42344,49385,492854,540998,492854,,
80,999772,10006755,59861,42713,49880,497802,545745,497802,,
81,989957,9909275,59261,42493,49377,492804,543055,492804,,
82,999792,10007522,59853,42836,49871,497752,547462,497752,,
83,989950,9909761,59253,42594,49372,492754,544491,492754,,
84,999816,10008162,59847,42953,49869,497702,549052,497702,,
85,989989,9910685,59248,42731,49367,492704,546365,492704,,
86,999874,10009425,59845,43114,49863,497652,551265,497652,,
87,990048,9911746,59243,42877,49362,492654,548376,492654,,
88,999952,10010752,59840,43282,49859,497602,553542,497602,,
89,990091,9912531,59236,43004,49358,492604,550111,492604,,
90,999993,10011444,59835,43402,49853,497552,555184,497552,,
91,990108,9913194,59229,43135,49354,492554,551924,492554,,
92,1000021,10012415,59824,43542,49848,497502,557105,497502,,
93,990147,9914052,59226,43264,49349,492504,553732,492504,,
94,1000048,10013144,59821,43665,49845,497452,558784,497452,,
