,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Emissions Rolling,Supply Rolling
0,1004231,10000000,61416,40432,50082,500000,500000,500000,,
1,994202,9900000,60801,40032,49583,495000,495000,495000,,
2,1001028,9964251,61410,40032,50061,499950,495000,499752,,
3,998357,9945000,60797,40428,49622,494950,499950,495350,,
4,1008085,10041977,61404,40839,50075,499900,504950,499900,,
5,1002814,9993311,60790,40830,49633,494900,504849,495500,,
6,1012775,10092851,61395,41239,50132,499850,509898,500456,,
7,1007669,10045919,60784,41239,49690,494850,509898,496054,,
8,1002313,9996629,60171,41239,49381,489900,509898,492985,,
9,1012238,10095703,60774,41649,49843,494800,514997,497524,,
10,1006960,10047182,60166,41649,49358,489850,514997,492747,,
11,1001954,10001209,59568,41649,49094,484950,514997,490123,,
12,996739,9953062,58976,41649,48793,480100,514997,487124,,
13,1005889,10044241,59557,42065,49067,484900,520146,489847,,
14,1000808,9997699,58966,42065,48734,480050,520146,486574,,
15,1009981,10089212,59549,42488,49067,484850,525345,489835,,
16,1004914,10042577,58959,42488,48754,480000,525345,486770,,
17,999845,9996006,58369,42488,48458,475200,525345,483822,,
18,1008664,10083862,58951,42909,48627,479950,530594,485409,,
19,1003332,10034907,58364,42909,48233,475150,530594,481583,,
20,998381,9989443,57779,42909,47960,470400,530594,478892,,
21,1006610,10071680,58358,43342,48092,475100,535893,480129,,
22,1001395,10023812,57770,43342,47660,470350,535893,475933,,
23,996766,9981136,57196,43342,47520,465650,535893,474423,,
24,1004281,10056727,57764,43775,47402,470300,541242,473265,,
25,999734,10015235,57187,43775,47170,465600,541242,470995,,
26,994734,9969042,56619,43775,46912,460950,541242,468426,,
27,1002287,10045186,57181,44211,47090,465550,546641,470204,,
28,997753,10003840,56612,44202,46923,460900,546532,468545,,
29,992807,9958149,56048,44211,46601,456300,546640,465384,,
30,1001275,10043572,56607,44650,46971,460850,552089,468977,,
31,996483,9999540,56041,44641,46574,456250,551979,465080,,
32,1005621,10091436,56600,45087,46894,460800,557477,468242,,
33,1000667,10045710,56035,45087,46627,456200,557477,465598,,
34,995994,10002908,55478,45087,46361,451650,557477,462979,,
35,991067,9957220,54926,45087,46145,447150,557477,460809,,
36,1000131,10048418,55472,45542,46237,451600,563073,461735,,
37,995327,10004045,54919,45542,46004,447100,563073,459413,,
38,990702,9961547,54374,45542,45694,442650,563073,456270,,
39,999228,10047344,54919,45993,45658,447100,568721,455947,,
40,994661,10005586,54374,45993,45324,442650,568721,452631,,
41,989872,9961579,53821,45993,45157,438200,568721,451017,,
42,998592,10049103,54366,46454,45258,442600,574419,451957,,
43,993911,10006342,53816,46454,45069,438150,574419,450144,,
44,989447,9965200,53276,46454,44829,433750,574419,447714,,
45,997646,10048020,53810,46922,44830,438100,580167,447690,,
46,993342,10008752,53272,46922,44587,433700,580167,445292,,
47,988699,9965937,52735,46922,44329,429350,580167,442734,,
48,997223,10051980,53264,47390,44517,433650,585965,444578,,
