,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
784,942173,10010764,91,65235,77457,751,812274,773306,25.859230707466583,945358.82,10022834.35,27.050376898388603
785,941784,10006964,90,65235,77441,745,812274,773151,27.33725576006804,945290.18,10022553.38,27.072872383459124
786,941346,10002873,90,65235,77426,739,812274,772998,28.53145479574377,945221.67,10022274.63,27.115794694784512
787,940935,9998819,88,65235,77411,733,812274,772846,29.63782516966048,945153.63,10021999.13,27.176149139377454
788,945968,10052909,89,65665,77910,730,817612,777831,35.33481882526763,945140.35,10022306.56,27.298233489607696
789,945470,10048183,86,65665,77863,724,817612,777364,32.0399644032211,945126.76,10022610.93,27.390731193871417
790,945060,10044120,86,65665,77862,719,817612,777361,29.725997767247627,945113.64,10022919.32,27.4613627936406
791,944611,10039818,86,65665,77863,714,817612,777368,27.77231522684417,945100.38,10023226.6,27.51309860102906
792,944217,10035930,85,65665,77863,709,817612,777363,26.593189145018222,945087.4,10023534.72,27.53852115053758
793,943770,10031708,85,65665,77847,704,817612,777213,25.459568309730976,945074.59,10023845.1,27.54185758753631
794,943370,10027774,85,65665,77832,699,817612,777064,24.779585558723102,945062.32,10024159.66,27.52877442162895
795,942978,10024031,84,65665,77861,694,817612,777349,24.350626065372012,945001.44,10023958.79,27.45553142650654
796,942599,10020388,84,65665,77863,689,817612,777372,23.984804992066984,944941.94,10023769.84,27.403452615240273
797,942192,10016480,82,65665,77833,684,817612,777070,23.527541153074985,944882.88,10023585.16,27.3655355354717
798,941834,10013052,81,65665,77831,679,817612,777044,27.37428311651388,944824.78,10023409.99,27.379403179748024
799,941434,10009216,81,65665,77801,674,817612,776745,32.15259793521123,944766.96,10023238.13,27.44906912654942
800,941014,10005245,80,65665,77771,669,817612,776448,36.85663100089614,944709.44,10023069.58,27.569986996844797
801,940615,10001405,80,65665,77769,664,817612,776426,40.70362281842762,944652.38,10022905.02,27.732248563031376
802,940185,9997277,80,65665,77739,659,817612,776133,45.820642975520244,944595.5,10022741.33,27.95205667558465
803,944996,10048731,79,66019,78189,655,822000,780587,50.413370921859034,944590.8,10023132.16,28.199802389320055
804,944512,10044117,78,66019,78164,650,822000,780337,43.35046936786486,944585.64,10023517.99,28.36287854232265
805,944127,10040279,78,66019,78137,645,822000,780074,38.111484838398646,944581.2,10023909.15,28.46218017003288
